Australia,93.3
Singapore,93.2
Netherlands,92.7
Belgium,92.6
Ireland,92.6
Denmark,92.1
Finland,91.9
Sweden,91.9
New Zealand,91.6
United Kingdom,91.5
Austria,91.3
Bahrain,91.3
Czech Republic,91.3
France,91.3
Portugal,90.0
Japan,89.8
Italy,89.5
Switzerland,89.2
Slovakia,89.1
Spain,89.0
Israel,88.6
Oman,88.6
Qatar,88.6
Greece,88.5
Canada,88.3
Germany,87.9
Poland,87.4
Norway,87.2
United States,87.1
Malaysia,87.0
Hungary,86.7
United Arab Emirates,86.7
China,86.4
Bulgaria,85.8
Jordan,85.3
Romania,85.1
Panama,84.4
Vietnam,84.0
Thailand,83.7
Saudi Arabia,83.2
Costa Rica,83.0
Chile,82.4
Serbia,81.5
Indonesia,81.4
Kuwait,80.0
Uruguay,80.0
Peru,79.7
Azerbaijan,78.1
Kazakhstan,78.0
Russia,77.8
South Korea,76.8
Mexico,76.0
Morocco,74.6
Tunisia,74.5
Cambodia,74.3
Paraguay,74.3
Dominican Rep.,73.4
El Salvador,72.5
Bolivia,71.6
Philippines,71.5
Ecuador,70.8
Botswana,69.0
Belarus,67.8
Algeria,66.8
Ukraine,66.6
Egypt,65.2
Guatemala,65.2
Colombia,64.6
Nicaragua,64.4
South Africa,63.4
Brazil,63.0
Myanmar,62.1
Argentina,62.0
Sri Lanka,61.0
Ghana,59.9
Pakistan,59.9
Honduras,59.8
Tajikistan,59.8
Laos,59.7
India,59.3
Turkey,58.4
Senegal,57.9
Côte d'Ivoire,54.2
Mali,53.4
Nepal,52.7
Uzbekistan,52.7
Bangladesh,52.1
Benin,50.5
Cameroon,50.4
Chad,50.1
Burkina Faso,49.5
Rwanda,48.4
Uganda,48.3
Congo (Dem. Rep.),46.9
Yemen,46.4
Tanzania,45.8
Togo,45.7
Niger,42.8
Mozambique,42.6
Venezuela,41.8
Kenya,41.7
Madagascar,39.5
Guinea,37.0
Sierra Leone,36.6
Angola,35.5
Sudan,35.2
Malawi,33.6
Ethiopia,32.9
Haiti,32.8
Burundi,32.5
Syria,32.0
Zambia,26.8
Nigeria,25.0
