Japan,81.2
China,79.2
Singapore,77.8
Portugal,77.0
Switzerland,76.8
Canada,75.7
United Arab Emirates,73.8
Costa Rica,73.0
Qatar,72.9
United Kingdom,71.6
South Korea,71.5
El Salvador,71.2
Nepal,70.9
Netherlands,70.7
Finland,70.5
Ireland,70.5
Czech Republic,69.4
France,69.0
Chile,68.8
Italy,68.7
Sweden,68.3
New Zealand,67.7
Israel,67.2
Kazakhstan,67.2
Saudi Arabia,67.2
Austria,67.1
Germany,67.0
Bulgaria,66.5
Uruguay,65.6
Turkey,65.3
United States,65.1
Dominican Rep.,65.0
Belgium,64.6
Oman,64.3
Poland,63.8
Argentina,63.4
Hungary,63.3
Panama,63.3
Denmark,63.2
Spain,63.1
Kuwait,62.9
India,62.3
Belarus,61.9
Honduras,61.9
Bolivia,61.6
Bangladesh,61.5
Russia,61.4
Australia,61.1
Vietnam,60.7
Romania,60.6
Norway,60.4
Bahrain,60.1
South Africa,60.1
Mexico,60.0
Jordan,59.8
Malaysia,59.5
Ecuador,59.3
Tanzania,58.7
Brazil,58.6
Peru,58.6
Greece,58.3
Pakistan,58.3
Algeria,57.3
Sri Lanka,57.2
Guatemala,56.7
Uzbekistan,56.4
Tajikistan,56.3
Azerbaijan,56.2
Slovakia,55.3
Philippines,55.2
Colombia,54.6
Cambodia,54.5
Egypt,54.2
Tunisia,54.1
Benin,53.6
Myanmar,53.5
Malawi,52.9
Thailand,52.9
Kenya,52.5
Ghana,52.4
Laos,51.8
Rwanda,51.8
Togo,51.0
Indonesia,50.9
Nicaragua,50.2
Burkina Faso,49.8
Haiti,49.6
Mozambique,49.4
Serbia,49.3
Guinea,49.0
Mali,48.7
Sudan,48.2
Ukraine,48.1
Senegal,47.8
Paraguay,47.0
Zambia,46.7
Ethiopia,44.7
Angola,43.5
Madagascar,43.0
Morocco,42.9
Côte d'Ivoire,42.1
Niger,41.7
Burundi,41.4
Uganda,41.0
Congo (Dem. Rep.),40.6
Botswana,40.5
Chad,40.0
Nigeria,39.5
Venezuela,36.7
Sierra Leone,35.5
Cameroon,31.9
Yemen,26.9
Syria,26.6
