Iceland,0.877
Norway,0.842
Finland,0.832
Sweden,0.82
Nicaragua,0.804
New Zealand,0.799
Ireland,0.798
Spain,0.795
Rwanda,0.791
Germany,0.787
Latvia,0.785
Namibia,0.784
Costa Rica,0.782
Denmark,0.782
France,0.781
Philippines,0.781
South Africa 0.780,
Switzerland,0.779
Canada,0.772
Albania,0.769
United Kingdom,0.767
Colombia,0.758
Moldova,0.757
Trinidad and Tobago,0.756
Mexico,0.754
Estonia,0.751
Belgium,0.75
Barbados,0.749
Belarus,0.746
Argentina,0.746
Cuba,0.746
Burundi,0.745
Lithuania,0.745
Austria,0.744
Portugal,0.744
Slovenia,0.743
Uruguay,0.737
Netherlands,0.736
Serbia,0.736
Poland,0.736
Jamaica,0.735
Bolivia,0.734
Lao PDR,0.731
Australia,0.731
Zambia,0.731
Panama,0.73
Zimbabwe,0.73
Ecuador,0.729
Bangladesh,0.726
Bulgaria,0.727
Luxembourg,0.725
Cape Verde,0.725
United States,0.724
Singapore,0.724
Romania,0.724
Mozambique,0.723
Chile,0.723
Honduras,0.722
Ukraine,0.721
Croatia,0.72
Bahamas,0.72
Madagascar,0.719
Slovak Republic,0.718
Israel,0.718
Uganda,0.717
Peru,0.714
Venezuela,0.713
Tanzania,0.713
Bosnia Herzegovina,0.712
North Macedonia,0.711
Montenegro,0.71
Kazakhstan,0.71
Botswana,0.709
Georgia,0.708
Thailand,0.708
Italy,0.707
Suriname,0.707
Czech Republic,0.706
Mongolia,0.706
El Salvador,0.706
Russian Federation,0.706
Ethiopia,0.705
Eswatini,0.703
Greece,0.701
Indonesia,0.7
Dominican Republic,0.7
Viet Nam,0.7
Lesotho,0.695
Cambodia,0.694
Malta,0.693
Cyprus,0.692
Brazil,0.691
Krygz Republic,0.689
Azerbaijan,0.687
Brunei Darussalam,0.686
Cameroon,0.686
Liberia,0.685
Armenia,0.684
Senegal,0.684
Paraguay,0.683
Nepal,0.68
Sri Lanka,0.68
Fiji,0.678
Malaysia,0.677
Hungary,0.677
China,0.676
Ghana,0.673
"Korea, Rep.",0.672
Kenya,0.671
Belize,0.671
Sierra Leone,0.668
India,0.688
Guatemala,0.666
Myanmar,0.665
Mauritius,0.665
Malawi,0.664
Timor-Leste,0.662
Angola,0.66
Benin,0.658
United Arab Emirates,0.655
Japan,0.652
Kuwait,0.65
Maldives,0.646
Tunisia,0.644
Guinea,0.642
Vanuatu,0.638
Papua New Guinea,0.635
Nigeria,0.635
Burkina Faso,0.635
Turkey,0.635
Bhutan,0.635
Algeria,0.634
Bahrain,0.629
Egypt,0.629
Qatar,0.629
"Gambia, The Republic of",0.628
Tajikistan,0.626
Jordan,0.623
Mali,0.621
Togo,0.615
Mauritania,0.614
Ivory Coast,0.606
Morocco,0.605
Oman,0.602
Lebanon,0.599
Saudi Arabia,0.599
Chad,0.596
"Iran, Islamic Republic of",0.584
"Congo, Dem. Rep.",0.578
Syria,0.567
Pakistan,0.564
Iraq,0.53
Yemen,0.494
